#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 11 19:55:25 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       EasyH3V3SWDUG4A3_map.ncd
#OUTPUT FILE:      EasyH3V3SWDUG4A3_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
M2,,,GND,,,,,,,,,,,,
M3,DioPort<36>,IOB,IO_L36P_M3DQ8_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M4,,,VCCO_3,,,3,,,,,3.30,,,,
M5,DioPort<51>,IOB,IO_L31N_VREF_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M6,,,GND,,,,,,,,,,,,
M7,,,VCCINT,,,,,,,,1.2,,,,
M8,DioPort<74>,IOB,IO_L40P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M9,,,VCCAUX,,,,,,,,2.5,,,,
M10,DioPort<108>,IOB,IO_L22P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M11,DioPort<121>,IOB,IO_L15P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,DioPort<143>,IOB,IO_L61N_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M14,DioPort<146>,IOB,IO_L53P_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M15,,,VCCO_1,,,1,,,,,3.30,,,,
M16,DioPort<161>,IOB,IO_L47P_FWE_B_M1DQ0_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
M17,,,GND,,,,,,,,,,,,
M18,DioPort<182>,IOB,IO_L47N_LDC_M1DQ1_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N1,DioPort<5>,IOB,IO_L35N_M3DQ11_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N2,DioPort<7>,IOB,IO_L35P_M3DQ10_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N3,DioPort<31>,IOB,IO_L1N_VREF_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N4,DioPort<29>,IOB,IO_L1P_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N5,FPGAData<8>,IOB,IO_L64P_D8_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
N6,DioPort<49>,IOB,IO_L47P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N7,DioPort<76>,IOB,IO_L44P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N8,DioPort<71>,IOB,IO_L40N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N9,DioPort<105>,IOB,IO_L22N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N10,DioPort<106>,IOB,IO_L20P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N11,DioPort<123>,IOB,IO_L15N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N12,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
N13,,,GND,,,,,,,,,,,,
N14,DioPort<145>,IOB,IO_L53N_VREF_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N15,DioPort<163>,IOB,IO_L50P_M1UDQS_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N16,DioPort<165>,IOB,IO_L50N_M1UDQSN_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N17,DioPort<183>,IOB,IO_L48P_HDC_M1DQ8_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
N18,DioPort<181>,IOB,IO_L48N_M1DQ9_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P1,DioPort<8>,IOB,IO_L34N_M3UDQSN_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P2,DioPort<6>,IOB,IO_L34P_M3UDQS_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P3,DioPort<30>,IOB,IO_L2N_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P4,DioPort<32>,IOB,IO_L2P_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P5,,,VCCAUX,,,,,,,,2.5,,,,
P6,FPGAData<9>,IOB,IO_L64N_D9_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
P7,DioPort<69>,IOB,IO_L47N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P8,DioPort<70>,IOB,IO_L44N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P9,,,VCCO_2,,,2,,,,,3.30,,,,
P10,,,VCCAUX,,,,,,,,2.5,,,,
P11,DioPort<125>,IOB,IO_L20N_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P12,FPGAData<10>,IOB,IO_L13N_D10_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
P13,,,CMPCS_B_2,,,,,,,,,,,,
P14,,,VCCAUX,,,,,,,,2.5,,,,
P15,DioPort<167>,IOB,IO_L74P_AWAKE_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P16,DioPort<148>,IOB,IO_L74N_DOUT_BUSY_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P17,DioPort<187>,IOB,IO_L49P_M1DQ10_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
P18,DioPort<185>,IOB,IO_L49N_M1DQ11_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
R1,,,GND,,,,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,3.30,,,,
R3,FPGAData<5>,IOB,IO_L62P_D5_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,FPGAData<7>,IOB,IO_L48P_D7_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
R6,,,VCCO_2,,,2,,,,,3.30,,,,
R7,DioPort<72>,IOB,IO_L46P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
R8,FPGAData<14>,IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
R9,,,GND,,,,,,,,,,,,
R10,DioPort<107>,IOB,IO_L29P_GCLK3_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
R11,DioPort<127>,IOB,IO_L16P_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
R12,,,VCCO_2,,,2,,,,,3.30,,,,
R13,FPGAData<0>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
R16,,,SUSPEND,,,,,,,,,,,,
R17,,,VCCO_1,,,1,,,,,3.30,,,,
R18,,,GND,,,,,,,,,,,,
T1,DioPort<3>,IOB,IO_L33N_M3DQ13_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T2,DioPort<1>,IOB,IO_L33P_M3DQ12_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T3,FPGAData<6>,IOB,IO_L62N_D6_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
T4,FPGARD,IOB,IO_L63P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
T5,DioPort<188>,IOB,IO_L48N_RDWR_B_VREF_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T6,FPGAAddr<1>,IOB,IO_L45P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
T7,FPGAAddr<4>,IOB,IO_L46N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
T8,FPGAData<15>,IOB,IO_L31N_GCLK30_D15_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
T9,DioPort<110>,IOB,IO_L32P_GCLK29_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T10,DioPort<112>,IOB,IO_L29N_GCLK2_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T11,FPGAAddr<9>,IOB,IO_L16N_VREF_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
T12,FPGAAddr<11>,IOB,IO_L19P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
T13,DioPort<147>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T14,FPGAData<1>,IOB,IO_L12P_D1_MISO2_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
T15,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
T16,,,GND,,,,,,,,,,,,
T17,DioPort<190>,IOB,IO_L51P_M1DQ12_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
T18,DioPort<192>,IOB,IO_L51N_M1DQ13_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
U1,DioPort<2>,IOB,IO_L32N_M3DQ15_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
U2,DioPort<4>,IOB,IO_L32P_M3DQ14_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
U3,DioPort<186>,IOB,IO_L65P_INIT_B_2,BIDIR,LVTTL,2,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
U4,,,VCCO_2,,,2,,,,,3.30,,,,
U5,FPGAData<3>,IOB,IO_L49P_D3_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
U6,,,GND,,,,,,,,,,,,
U7,FPGAAddr<3>,IOB,IO_L43P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
U8,FPGAAddr<6>,IOB,IO_L41P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
U9,,,VCCO_2,,,2,,,,,3.30,,,,
U10,FPGAData<13>,IOB,IO_L30P_GCLK1_D13_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
U11,FPGAAddr<8>,IOB,IO_L23P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
U12,,,GND,,,,,,,,,,,,
U13,FPGAData<11>,IOB,IO_L14P_D11_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
U14,,,VCCO_2,,,2,,,,,3.30,,,,
U15,FPGAAddr<13>,IOB,IO_L5P_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
U16,FPGAAddr<15>,IOB,IO_L2P_CMPCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
U17,DioPort<191>,IOB,IO_L52P_M1DQ14_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
U18,DioPort<189>,IOB,IO_L52N_M1DQ15_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,,PROGRAM_B_2,,,,,,,,,,,,
V3,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
V4,FPGAWR,IOB,IO_L63N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V5,FPGAData<4>,IOB,IO_L49N_D4_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
V6,FPGAAddr<0>,IOB,IO_L45N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V7,FPGAAddr<2>,IOB,IO_L43N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V8,FPGAAddr<5>,IOB,IO_L41N_VREF_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V9,FPGAGCLK1,IOB,IO_L32N_GCLK28_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V10,FPGAGCLK0,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V11,FPGAAddr<7>,IOB,IO_L23N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V12,FPGAAddr<10>,IOB,IO_L19N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V13,FPGAData<12>,IOB,IO_L14N_D12_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
V14,FPGAData<2>,IOB,IO_L12N_D2_MISO3_2,BIDIR,LVTTL,2,12,FAST,,NONE,,LOCATED,NO,NONE,
V15,FPGAAddr<12>,IOB,IO_L5N_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V16,FPGAAddr<14>,IOB,IO_L2N_CMPMOSI_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
V17,,,DONE_2,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
