#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 11 19:55:25 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       EasyH3V3SWDUG4A3_map.ncd
#OUTPUT FILE:      EasyH3V3SWDUG4A3_pad.csv
#PART TYPE:        xc6slx16
#SPEED GRADE:      -2
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C12,DioPort<109>,IOB,IO_L47N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C13,DioPort<132>,IOB,IO_L50P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C14,DioPort<130>,IOB,IO_L65N_SCP2_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C15,DioPort<149>,IOB,IO_L64P_SCP5_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C16,,,GND,,,,,,,,,,,,
C17,DioPort<166>,IOB,IO_L29P_A23_M1A13_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
C18,DioPort<168>,IOB,IO_L29N_A22_M1A14_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D1,DioPort<22>,IOB,IO_L52N_M3A9_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D2,DioPort<24>,IOB,IO_L52P_M3A8_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D3,DioPort<45>,IOB,IO_L54N_M3A11_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D4,DioPort<46>,IOB,IO_L1P_HSWAPEN_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D5,,,GND,,,,,,,,,,,,
D6,DioPort<63>,IOB,IO_L3P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D7,,,VCCO_0,,,0,,,,,3.30,,,,
D8,DioPort<81>,IOB,IO_L11P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D9,DioPort<104>,IOB,IO_L34P_GCLK19_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D10,,,GND,,,,,,,,,,,,
D11,DioPort<114>,IOB,IO_L36P_GCLK15_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D12,DioPort<116>,IOB,IO_L47P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D13,,,VCCO_0,,,0,,,,,3.30,,,,
D14,DioPort<129>,IOB,IO_L65P_SCP3_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D15,,,TDI,,,,,,,,,,,,
D16,,,TDO,,,,,,,,,,,,
D17,DioPort<170>,IOB,IO_L31P_A19_M1CKE_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
D18,DioPort<172>,IOB,IO_L31N_A18_M1A12_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E1,DioPort<19>,IOB,IO_L50N_M3BA2_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,3.30,,,,
E3,DioPort<48>,IOB,IO_L50P_M3WE_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E4,DioPort<43>,IOB,IO_L54P_M3RESET_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,DioPort<61>,IOB,IO_L7N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E7,DioPort<82>,IOB,IO_L9P_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E8,DioPort<84>,IOB,IO_L9N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E9,,,VCCAUX,,,,,,,,2.5,,,,
E10,,,VCCO_0,,,0,,,,,3.30,,,,
E11,DioPort<115>,IOB,IO_L42N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E12,DioPort<113>,IOB,IO_L51N_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E13,DioPort<131>,IOB,IO_L63N_SCP6_0,BIDIR,LVTTL,0,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E14,,,VCCAUX,,,,,,,,2.5,,,,
E15,,,GND,,,,,,,,,,,,
E16,DioPort<151>,IOB,IO_L33P_A15_M1A10_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
E17,,,VCCO_1,,,1,,,,,3.30,,,,
E18,DioPort<169>,IOB,IO_L33N_A14_M1A4_1,BIDIR,LVTTL,1,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F1,DioPort<17>,IOB,IO_L48N_M3BA1_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
F2,DioPort<18>,IOB,IO_L48P_M3BA0_3,BIDIR,LVTTL,3,12,FAST,PULLUP,NONE,,LOCATED,NO,NONE,
